cd_conta,conta,2011T4,2012T1,2012T2,2012T3,2012T4,2013T1,2013T2,2013T3,2013T4,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
2.02.01,Empréstimos e Financiamentos,111985.000,104983.000,99583.000,87962.000,131460.000,140386.000,121620.000,103933.000,160881.000,188196.000,185015.000,211395.000,242297.000,281387.000,305479.000,513039.000,486715.000,414711.000,387345.000,684376.000,665921.000,570211.000,797523.000,704966.000,989944.000,897815.000,879716.000,1191068.000,1195516.000,1122250.000,1426168.000,934332.000,934693.000,891391.000,1635615.000,2141379.000,2130228.000,2131548.000,1832601.000,1833783.000,2523461.000,2526102.000,2527999.000,3003280.000,2655148.000,2656820.000,2408492.000,2758638.000,2760116.000
2.02.02,Outras Obrigações,8930.000,8501.000,7965.000,7487.000,7049.000,6673.000,6407.000,2868.000,4224.000,36108.000,35781.000,37382.000,38961.000,61499.000,59986.000,64889.000,69349.000,68503.000,60148.000,61069.000,63600.000,46948.000,3182115.000,3139870.000,3538147.000,3004436.000,3297230.000,3257131.000,3270299.000,3329086.000,3328730.000,3446542.000,3448283.000,3126569.000,3094925.000,3162672.000,3161573.000,3209221.000,3190118.000,3283929.000,3305250.000,3202430.000,3336220.000,3350044.000,3451193.000,3583031.000,3687506.000,3827315.000,3930159.000
2.02.03,Tributos Diferidos,51715.000,52673.000,53174.000,51488.000,64021.000,70542.000,80302.000,87876.000,93980.000,165981.000,175071.000,173228.000,186336.000,193187.000,199069.000,204823.000,217650.000,228715.000,243587.000,255521.000,256905.000,237757.000,237867.000,228520.000,166354.000,123986.000,129649.000,102242.000,90371.000,74428.000,75364.000,50810.000,24697.000,89011.000,74383.000,48482.000,30541.000,17660.000,24656.000,6188.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.02.04,Provisões,3272.000,3972.000,4585.000,4123.000,9721.000,9765.000,8936.000,8463.000,8021.000,3352.000,3120.000,4929.000,2721.000,2591.000,7374.000,8693.000,7395.000,8169.000,5973.000,6090.000,6439.000,48877.000,44295.000,36990.000,60843.000,67114.000,69375.000,72545.000,71125.000,75400.000,68363.000,62181.000,55300.000,53540.000,50289.000,54149.000,51659.000,56768.000,58082.000,62869.000,62913.000,258082.000,256093.000,261942.000,235310.000,282059.000,290519.000,281170.000,255049.000
2.02.05,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.02.06,Lucros e Receitas a Apropriar,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.03,Patrimônio Líquido Consolidado,2201174.000,2213560.000,2234786.000,2255015.000,2264659.000,2275538.000,2291749.000,2304867.000,2326983.000,2656798.000,2655480.000,2767763.000,2838416.000,2935955.000,2930398.000,3023250.000,3112051.000,3250372.000,3224392.000,3314660.000,3394855.000,3534767.000,3571437.000,3591225.000,4005550.000,4076419.000,4156899.000,4117357.000,4227439.000,4425621.000,4487166.000,4696889.000,4787487.000,4718802.000,4794924.000,5065457.000,5108924.000,5402941.000,5523652.000,5601719.000,5794986.000,6028301.000,6144955.000,6190066.000,6316107.000,6446887.000,6500571.000,6686574.000,7009377.000
2.03.01,Capital Social Realizado,908639.000,908639.000,908639.000,908639.000,908639.000,908639.000,908639.000,908639.000,908639.000,1808639.000,1808639.000,1808639.000,1808639.000,1808639.000,1808639.000,1808639.000,1808639.000,1808639.000,1808639.000,1808639.000,1808639.000,1808639.000,1808639.000,2500000.000,2500000.000,2500000.000,2500000.000,2500000.000,2500000.000,2500000.000,2500000.000,2500000.000,2500000.000,2500000.000,2500000.000,2500000.000,2500000.000,2500000.000,2500000.000,4000000.000,4000000.000,4000000.000,4000000.000,4000000.000,4000000.000,4000000.000,4000000.000,4000000.000,4000000.000
2.03.02,Reservas de Capital,1039935.000,1039935.000,1039935.000,1039935.000,1039935.000,1039935.000,1039935.000,1039935.000,1039935.000,128767.000,133262.000,136223.000,139192.000,138553.000,141318.000,144731.000,148039.000,151156.000,107490.000,110346.000,113518.000,116363.000,119552.000,122833.000,126572.000,129768.000,133213.000,137813.000,142880.000,148029.000,146824.000,152448.000,84567.000,89914.000,88981.000,95407.000,105464.000,112762.000,115466.000,125746.000,136617.000,146560.000,145372.000,157623.000,168673.000,111309.000,117894.000,131107.000,125346.000
2.03.03,Reservas de Reavaliação,13325.000,13275.000,13224.000,13174.000,13127.000,13057.000,13034.000,12988.000,12941.000,12569.000,12523.000,12476.000,12429.000,12383.000,12337.000,12290.000,12243.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.03.04,Reservas de Lucros,239275.000,239275.000,229537.000,229536.000,302958.000,302958.000,294721.000,294721.000,365468.000,714064.000,665820.000,665820.000,665821.000,980442.000,919117.000,919118.000,919118.000,1280751.000,1228149.000,1228149.000,1228149.000,1593063.000,1593063.000,830713.000,830713.000,1413627.000,1413627.000,1371984.000,1371984.000,1733650.000,1664172.000,1664172.000,1664172.000,2072984.000,2072984.000,2050855.000,2050853.000,2716769.000,2716769.000,1049243.000,1049243.000,1794969.000,1794969.000,1577370.000,1577370.000,2248097.000,2248096.000,2178201.000,2178201.000
2.03.05,Lucros/Prejuízos Acumulados,0.000,12436.000,43451.000,63731.000,0.000,10949.000,35420.000,48584.000,0.000,0.000,42347.000,149930.000,216621.000,0.000,52903.000,141512.000,226619.000,0.000,69998.000,156256.000,232246.000,0.000,31546.000,116785.000,524168.000,0.000,76363.000,72366.000,177135.000,0.000,130337.000,333425.000,487997.000,0.000,74680.000,355875.000,381831.000,0.000,112302.000,348863.000,521462.000,0.000,118068.000,367843.000,482791.000,0.000,45899.000,288534.000,617637.000
2.03.06,Ajustes de Avaliação Patrimonial,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-30230.000,-30230.000,-30230.000,-30230.000,-30230.000,-30230.000,-30230.000,-30230.000,-18033.000,-18077.000,-18121.000,-18164.000,-18208.000,-18251.000,-18295.000,-18338.000,-18382.000,-18425.000,-18468.000,-18511.000,-18553.000,-18595.000,15416.000,15376.000,14775.000,14735.000,12047.000,14646.000,11331.000,14122.000,8124.000,14503.000,14472.000,13237.000,73719.000,73804.000,74054.000,74023.000,73991.000,73960.000
2.03.07,Ajustes Acumulados de Conversão,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.03.08,Outros Resultados Abrangentes,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.03.09,Participação dos Acionistas Não Controladores,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,22989.000,23119.000,24905.000,25944.000,26168.000,26314.000,27190.000,27623.000,27859.000,28193.000,29391.000,30467.000,34910.000,36888.000,39189.000,42435.000,51406.000,52121.000,53662.000,53951.000,62495.000,64428.000,31428.000,35375.000,41129.000,43544.000,51273.000,56130.000,62079.000,64993.000,69743.000,73161.000,72300.000,73309.000,13511.000,13469.000,13427.000,14659.000,14741.000,14233.000
