cd_conta,ds_conta,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
3.06.01,Receitas Financeiras,34116.0,50500.0,65074.0,63399.0,60276.0,65700.0,102504.0,82100.0,49554.0,38803.0,38107.0,25759.0,33885.0,57271.0,85249.0,131206.0,289336.0,231233.0,233914.0,173054.0,171993.0,376035.0,288077.0,193642.0,259295.0,307474.0,293627.0,286300.0,431565.0,357573.0,491939.0
3.06.02,Despesas Financeiras,-12346.0,-13245.0,-6008.0,-9670.0,-25202.0,-25079.0,-51935.0,-112369.0,-106244.0,-66090.0,-58652.0,-55716.0,-63715.0,-61831.0,-79547.0,-152912.0,-460803.0,-490551.0,-579337.0,-688788.0,-451068.0,-831797.0,-711783.0,-907993.0,-634445.0,-558565.0,-653886.0,-508068.0,-781441.0,-959338.0,-810169.0
3.07,Resultado Antes dos Tributos sobre o Lucro,295259.0,235988.0,238162.0,272926.0,307102.0,305320.0,282280.0,234769.0,255105.0,423864.0,310410.0,143279.0,220812.0,79476.0,58871.0,133717.0,-204163.0,-391042.0,-236273.0,-616331.0,-179058.0,-373521.0,-104110.0,-44548.0,123822.0,-564497.0,-107188.0,80586.0,321148.0,-456513.0,32915.0
3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-81188.0,-85960.0,-47982.0,-38871.0,-101708.0,-81911.0,-69845.0,-24161.0,-90542.0,-145223.0,-62565.0,-49029.0,-68983.0,-25134.0,-15199.0,-101856.0,-22185.0,-78698.0,-271427.0,-299660.0,-58459.0,-85810.0,-3051.0,-90503.0,-64628.0,-183774.0,-25721.0,-86059.0,-135251.0,-125000.0,-54194.0
3.09,Resultado Líquido das Operações Continuadas,214071.0,150028.0,190180.0,234055.0,205394.0,223409.0,212435.0,210608.0,164563.0,278641.0,247845.0,94250.0,151829.0,104610.0,43672.0,200225.0,181978.0,312344.0,35154.0,246363.0,237517.0,287711.0,101059.0,131767.0,59194.0,380723.0,81467.0,133957.0,185897.0,331513.0,87109.0
3.10,Resultado Líquido de Operações Descontinuadas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,803.0,2870.0,-3028.0,0.0,0.0,0.0,5965.0,0.0,2.0,0.0
3.11,Lucro/Prejuízo Consolidado do Período,214071.0,150028.0,190180.0,234055.0,205394.0,223409.0,212435.0,210608.0,164563.0,278641.0,247845.0,94250.0,151829.0,104610.0,43672.0,200225.0,181978.0,312344.0,35154.0,246363.0,237517.0,286908.0,98189.0,134795.0,59194.0,380723.0,81467.0,127992.0,185897.0,331511.0,87109.0
3.11.01,Atribuído a Sócios da Empresa Controladora,213652.0,149702.0,189918.0,234198.0,205153.0,223151.0,212449.0,209072.0,164429.0,278649.0,248778.0,91608.0,150188.0,104398.0,43191.0,200018.0,-181964.0,-312760.0,34158.0,460566.0,-238541.0,-286642.0,-97156.0,-135592.0,65277.0,-381352.0,-81263.0,-251963.0,186122.0,-331491.0,0.0
3.11.02,Atribuído a Sócios Não Controladores,419.0,326.0,262.0,-143.0,241.0,258.0,-14.0,1536.0,134.0,-8.0,-933.0,2642.0,1641.0,212.0,481.0,207.0,-14.0,416.0,996.0,-1398.0,1024.0,-266.0,-1033.0,797.0,-118.0,629.0,-204.0,-381.0,-225.0,-20.0,-25.0
3.99,Lucro por Ação (Reais/Ação),0.38,0.24,0.31,0.31,0.31,0.33,0.28,0.29,0.22,0.38,0.33,-0.72,0.04,0.03,0.01,0.05,0.03,0.05,0.01,-0.09,-0.03,-0.04,-0.01,-0.02,0.01,-0.05,-0.07,0.01,0.02,-0.66,-0.17
