cd_conta,ds_conta,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
3.06.01,Receitas Financeiras,0.0,0.0,6715.0,6715.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.06.02,Despesas Financeiras,0.0,0.0,-27243.0,-27243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.07,Resultado Antes dos Tributos sobre o Lucro,15713.0,3479.0,10674.0,4753.0,15132.0,9891.0,18730.0,-51676.0,15291.0,10162.0,18998.0,25597.0,15388.0,15053.0,21247.0,14020.0,-18866.0,-79554.0,4023.0,21330.0,15231.0,14931.0,16120.0,-43826.0,-24729.0,-22387.0,-67470.0,-118648.0,-25814.0,-41587.0,-39717.0,-92351.0,-67112.0,3639.0,9970.0,-41947.0,-18165.0,-6040.0,22074.0
3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-5988.0,-9039.0,-6006.0,-15181.0,-6370.0,-5153.0,-5664.0,-5376.0,-5668.0,-2422.0,-5390.0,-5002.0,-3894.0,-3254.0,-4521.0,-3966.0,-1165.0,-5544.0,-5896.0,-6759.0,-2701.0,-3244.0,-6944.0,-12421.0,-10207.0,-12278.0,-5330.0,-13824.0,-7879.0,-8660.0,-9540.0,-6989.0,-9733.0,-481.0,-6054.0,-516.0,-3043.0,-5493.0,-12515.0
3.09,Resultado Líquido das Operações Continuadas,9725.0,5560.0,4668.0,8814.0,8762.0,4738.0,13066.0,-11926.0,9623.0,7740.0,13608.0,20595.0,11494.0,11799.0,16726.0,10054.0,20031.0,85098.0,1873.0,-14571.0,12530.0,11687.0,9176.0,-31405.0,14522.0,10109.0,72800.0,121812.0,33693.0,50247.0,49257.0,85362.0,76845.0,3158.0,3916.0,27283.0,21208.0,11533.0,9559.0
3.10,Resultado Líquido de Operações Descontinuadas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.11,Lucro/Prejuízo Consolidado do Período,9725.0,5560.0,4668.0,8814.0,8762.0,4738.0,13066.0,-11926.0,9623.0,7740.0,13608.0,20595.0,11494.0,11799.0,16726.0,10054.0,20031.0,85098.0,1873.0,-14571.0,12530.0,11687.0,9176.0,-31405.0,14522.0,10109.0,72800.0,121812.0,33693.0,50247.0,49257.0,85362.0,76845.0,3158.0,3916.0,27283.0,21208.0,11533.0,9559.0
3.11.01,Atribuído a Sócios da Empresa Controladora,7532.0,-9344.0,533.0,16071.0,5786.0,3954.0,10189.0,-13277.0,7103.0,5269.0,11222.0,16493.0,9886.0,9596.0,14376.0,7442.0,-21680.0,-84618.0,-3855.0,12737.0,10119.0,10430.0,5153.0,-31327.0,-16547.0,-12495.0,-75123.0,-123645.0,-36179.0,-51579.0,-51762.0,-88358.0,-78744.0,433.0,1804.0,-52612.0,-19828.0,-15900.0,7854.0
3.11.02,Atribuído a Sócios Não Controladores,2193.0,3784.0,4135.0,3863.0,2976.0,784.0,2877.0,1351.0,2520.0,2471.0,2386.0,4102.0,1608.0,2203.0,2350.0,2612.0,1649.0,-480.0,1982.0,1834.0,2411.0,1257.0,4023.0,-78.0,2025.0,2386.0,2323.0,1833.0,2486.0,1332.0,2505.0,2996.0,1900.0,2725.0,2112.0,5146.0,-1380.0,4367.0,1705.0
3.99,Lucro por Ação (Reais/Ação),0.081,0.04700201,0.0394614,0.065,0.06,0.034,0.086,-0.123,0.06,0.045,0.095,0.139,0.08356,0.081,0.122,0.06344,-0.184,-0.718,-0.033,0.11,0.086,0.088,0.044,-0.266,-0.141,-0.11,-0.638,-1.045,-0.307,-0.43724,-0.438,-1.92481776,-0.666,-0.004,0.015,-0.437,-0.13,-0.104,0.052
